TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2025/10/15 9:52,1.76052E+12,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app/api/points/balance,GET,,200,dqq46-1760521947904-7e84c5f9f49e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",info,preview,credits,,lambda,/api/points/balance,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,dpl_9Jkt1HhJWByNDQwXKZPqoTwMrADt,126,iad1,144,2048,,prj_Sbvh6SwMzvZvs947NmAyTf7jX90k,,,01K7KMJ304BZT4A91BEX6XMS2K,SmLYUylLYqnG,1
2025/10/15 9:52,1.76052E+12,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app/api/points/balance,GET,,200,dqq46-1760521947904-7e84c5f9f49e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",info,preview,credits,,edge-middleware,/src/middleware,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,dpl_9Jkt1HhJWByNDQwXKZPqoTwMrADt,-1,iad1,-1,-1,,prj_Sbvh6SwMzvZvs947NmAyTf7jX90k,,,01K7KMJ2TP2BBV3E0GF8ARTZZ1,yM6JSNWHOYqW,-1
2025/10/15 9:52,1.76052E+12,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app/api/points/balance,GET,,200,mfzcs-1760521947315-b20f9427fcc0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",info,preview,credits,,lambda,/api/points/balance,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,dpl_9Jkt1HhJWByNDQwXKZPqoTwMrADt,136,iad1,144,2048,,prj_Sbvh6SwMzvZvs947NmAyTf7jX90k,,,01K7KMJ2DFC679MJX5F184D652,SmLYUylLYqnG,1
2025/10/15 9:52,1.76052E+12,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app/api/points/balance,GET,,200,mfzcs-1760521947315-b20f9427fcc0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",info,preview,credits,,edge-middleware,/src/middleware,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,dpl_9Jkt1HhJWByNDQwXKZPqoTwMrADt,-1,iad1,-1,-1,,prj_Sbvh6SwMzvZvs947NmAyTf7jX90k,,,01K7KMJ280MZ88M5DJF4VY22JS,yM6JSNWHOYqW,-1
2025/10/15 9:52,1.76052E+12,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app/api/points/balance,GET,,200,j7bp5-1760521946658-20a9fa4cd639,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",info,preview,credits,,lambda,/api/points/balance,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,dpl_9Jkt1HhJWByNDQwXKZPqoTwMrADt,166,iad1,144,2048,,prj_Sbvh6SwMzvZvs947NmAyTf7jX90k,,,01K7KMJ1SNEC323XRCQRDHQTDQ,SmLYUylLYqnG,1
2025/10/15 9:52,1.76052E+12,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app/api/points/balance,GET,,200,j7bp5-1760521946658-20a9fa4cd639,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",info,preview,credits,,edge-middleware,/src/middleware,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,dpl_9Jkt1HhJWByNDQwXKZPqoTwMrADt,-1,iad1,-1,-1,,prj_Sbvh6SwMzvZvs947NmAyTf7jX90k,,,01K7KMJ1KMZYXV8RN2DMRJ3YAE,yM6JSNWHOYqW,-1
2025/10/15 9:52,1.76052E+12,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app/api/points/balance,GET,,200,mfzcs-1760521945596-6d7a8b111c8e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",info,preview,credits,,lambda,/api/points/balance,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,dpl_9Jkt1HhJWByNDQwXKZPqoTwMrADt,560,iad1,144,2048,,prj_Sbvh6SwMzvZvs947NmAyTf7jX90k,,,01K7KMJ0R75JFZ7B4WB7FSCAMJ,SmLYUylLYqnG,1
2025/10/15 9:52,1.76052E+12,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app/api/points/balance,GET,,200,mfzcs-1760521945596-6d7a8b111c8e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",info,preview,credits,,edge-middleware,/src/middleware,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,dpl_9Jkt1HhJWByNDQwXKZPqoTwMrADt,-1,iad1,-1,-1,,prj_Sbvh6SwMzvZvs947NmAyTf7jX90k,,,01K7KMJ0JF8BKCNFBW6DM7RA3X,yM6JSNWHOYqW,-1
2025/10/15 9:51,1.76052E+12,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app/api/points/balance,GET,,200,wjw5q-1760521887763-b212426b1a23,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",info,preview,credits,,lambda,/api/points/balance,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,dpl_9Jkt1HhJWByNDQwXKZPqoTwMrADt,107,iad1,144,2048,,prj_Sbvh6SwMzvZvs947NmAyTf7jX90k,,,01K7KMG89QBH682DQ4BNHT084P,SmLYUylLYqnG,1
2025/10/15 9:51,1.76052E+12,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app/api/points/balance,GET,,200,wjw5q-1760521887763-b212426b1a23,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",info,preview,credits,,edge-middleware,/src/middleware,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,covergen-git-credits-jeff-lees-projects-92a56a05.vercel.app,dpl_9Jkt1HhJWByNDQwXKZPqoTwMrADt,-1,iad1,-1,-1,,prj_Sbvh6SwMzvZvs947NmAyTf7jX90k,,,01K7KMG83Z9N9P7029CGQXJZR5,yM6JSNWHOYqW,-1
